freq_hz,NW_mV,NE_mV,SE_mV
162000,0.176826,0.117969,0.265282
162200,0.186286,0.169587,0.148481
162400,0.145053,0.141762,0.167481
162600,0.085847,0.200621,0.140102
162800,0.123445,0.163581,0.157265
163000,0.163187,0.094151,0.154005
163200,0.128054,0.180150,0.189205
163400,0.126193,0.186743,0.092072
163600,0.147955,0.197769,0.274667
163800,0.142807,0.144370,0.118595
164000,0.148800,0.145245,0.132198
164200,0.192095,0.086075,0.127519
164400,0.217623,0.173729,0.087472
164600,0.175099,0.166305,0.099351
164800,0.217913,0.092897,0.190445
165000,0.146176,0.097608,0.183520
165200,0.180477,0.131388,0.211395
165400,0.101661,0.203204,0.216007
165600,0.254004,0.130572,0.203518
165800,0.140011,0.100427,0.148136
166000,0.270145,0.130173,0.190371
166200,0.105367,0.117771,0.130659
166400,0.184664,0.166037,0.144438
166600,0.138012,0.244143,0.086554
166800,0.129879,0.159293,0.162784
167000,0.234954,0.148320,0.206867
167200,0.154869,0.134512,0.191129
167400,0.112470,0.171866,0.132705
167600,0.116078,0.111790,0.186296
167800,0.269363,0.148586,0.133220
168000,0.182708,0.129659,0.188106
168200,0.189236,0.161309,0.136779
168400,0.266557,0.137676,0.187067
168600,0.302631,0.180153,0.150716
168800,0.174742,0.129485,0.237086
169000,0.152126,0.140403,0.146685
169200,0.117503,0.113626,0.234479
169400,0.100976,0.165996,0.132734
169600,0.121282,0.288599,0.092946
169800,0.118281,0.128951,0.143370
170000,0.139982,0.111031,0.210526
170200,0.187040,0.253735,0.098594
170400,0.137295,0.225061,0.136508
170600,0.176999,0.164703,0.169860
170800,0.118430,0.162739,0.124396
171000,0.201623,0.182396,0.180648
171200,0.115141,0.224036,0.153783
171400,0.221170,0.254986,0.139586
171600,0.131981,0.111677,0.106165
171800,0.670583,0.329247,0.527991
172000,0.604991,0.402694,0.806320
172200,0.593907,0.555647,0.835811
172400,0.451063,0.808466,0.586724
172600,0.635758,0.381137,0.881702
172800,0.348882,0.434634,0.342388
173000,0.213752,0.229378,0.157598
173200,0.118636,0.210925,0.104329
173400,0.182492,0.134791,0.153184
173600,0.212870,0.168877,0.200431
173800,0.107300,0.256495,0.107108
174000,0.129113,0.243370,0.173978
174200,0.129950,0.180884,0.196072
174400,0.140701,0.168673,0.144874
174600,0.208848,0.243665,0.138072
174800,0.231110,0.101079,0.251854
175000,0.145394,0.208808,0.105908
175200,0.220739,0.104000,0.125146
175400,0.132029,0.102550,0.160498
175600,0.220239,0.155528,0.206346
175800,0.125198,0.131184,0.122449
176000,0.247117,0.142063,0.158777
176200,0.109902,0.183115,0.094570
176400,0.277579,0.179083,0.249219
176600,0.133211,0.147633,0.177603
176800,0.090901,0.185602,0.171760
177000,0.151529,0.160846,0.094776
177200,0.184956,0.264842,0.127243
177400,0.147444,0.132023,0.140061
177600,0.123743,0.207103,0.147385
177800,0.102225,0.174054,0.171215
178000,0.130787,0.238039,0.155198
178200,0.088764,0.201581,0.193490
178400,0.091652,0.145546,0.171121
178600,0.171382,0.097573,0.210216
178800,0.124713,0.071006,0.176786
179000,0.158342,0.191881,0.220457
179200,0.163401,0.131111,0.169174
179400,0.196478,0.153501,0.069593
179600,0.248712,0.148996,0.146496
179800,0.168153,0.133188,0.144482
180000,0.112229,0.183413,0.070042
180200,0.120358,0.136713,0.131941
180400,0.147226,0.218763,0.117284
180600,0.109136,0.146834,0.130373
180800,0.183174,0.166159,0.181969
181000,0.109636,0.102413,0.113212
181200,0.083381,0.152196,0.171623
181400,0.204275,0.121165,0.191968
181600,0.199555,0.200199,0.184881
181800,0.186662,0.104166,0.184048
182000,0.172579,0.118182,0.174237
