freq_hz,relay,magnitude_mV,pk_pk_mV
50000,NW,0.067329,53.713
50000,NE,0.081884,53.713
50000,SE,0.108846,53.713
52000,NW,0.924191,62.654
52000,NE,0.123951,44.740
52000,SE,0.152780,53.713
54000,NW,1.466777,44.771
54000,NE,0.309619,62.654
54000,SE,0.121217,53.713
56000,NW,7.522555,53.713
56000,NE,5.504273,71.627
56000,SE,0.123572,53.713
58000,NW,1.508795,53.713
58000,NE,4.670868,62.654
58000,SE,0.365400,44.740
60000,NW,1.581547,62.654
60000,NE,4.535026,62.654
60000,SE,0.126881,53.713
62000,NW,0.490749,53.713
62000,NE,1.253357,44.740
62000,SE,0.111827,35.798
64000,NW,0.471056,62.654
64000,NE,0.192078,62.654
64000,SE,0.195895,35.798
66000,NW,0.495840,35.798
66000,NE,0.362392,44.771
66000,SE,0.116928,53.713
68000,NW,0.208001,53.713
68000,NE,0.158479,53.713
68000,SE,0.176133,53.713
70000,NW,0.238012,53.713
70000,NE,0.139211,44.771
70000,SE,0.160623,53.713
72000,NW,0.205701,53.713
72000,NE,0.179448,62.654
72000,SE,0.221045,44.771
74000,NW,0.990162,26.856
74000,NE,0.284000,62.654
74000,SE,0.168916,35.798
76000,NW,0.590974,35.829
76000,NE,0.947759,44.771
76000,SE,0.106539,53.713
78000,NW,0.625130,62.654
78000,NE,0.446458,35.829
78000,SE,0.213413,44.740
80000,NW,0.974630,53.713
80000,NE,1.128644,53.713
80000,SE,0.177655,53.713
82000,NW,1.840663,62.654
82000,NE,1.849895,44.771
82000,SE,0.122057,53.713
84000,NW,2.719714,62.654
84000,NE,5.993601,53.713
84000,SE,0.210332,44.740
86000,NW,3.295378,62.654
86000,NE,7.593253,62.654
86000,SE,0.489125,53.713
88000,NW,4.088790,53.713
88000,NE,5.090320,26.856
88000,SE,0.090409,53.713
90000,NW,7.359607,62.654
90000,NE,4.872870,62.654
90000,SE,0.137844,44.740
92000,NW,6.480718,53.713
92000,NE,5.969193,53.713
92000,SE,0.098212,44.740
94000,NW,4.193095,62.654
94000,NE,3.286601,35.829
94000,SE,0.147758,53.713
96000,NW,2.216906,53.713
96000,NE,1.115278,53.713
96000,SE,0.157838,53.713
98000,NW,0.813219,53.713
98000,NE,1.130665,44.740
98000,SE,0.138441,35.798
100000,NW,0.510052,62.654
100000,NE,1.011916,62.654
100000,SE,0.128087,53.713
102000,NW,0.740506,44.771
102000,NE,0.696665,62.654
102000,SE,0.163251,44.740
104000,NW,0.159485,53.713
104000,NE,1.103230,53.713
104000,SE,0.101536,44.771
106000,NW,0.779527,62.654
106000,NE,1.066168,62.654
106000,SE,0.124273,53.713
108000,NW,0.735769,53.713
108000,NE,0.371404,62.654
108000,SE,0.162174,53.713
110000,NW,1.179161,44.771
110000,NE,0.310462,62.654
110000,SE,0.114879,53.713
112000,NW,1.146280,44.740
112000,NE,0.421512,44.740
112000,SE,0.124469,53.713
114000,NW,1.787221,44.740
114000,NE,0.929601,44.771
114000,SE,0.247152,53.713
116000,NW,1.008167,62.654
116000,NE,2.126888,53.713
116000,SE,0.151094,53.713
118000,NW,0.217079,53.713
118000,NE,0.930403,53.713
118000,SE,0.152280,53.713
120000,NW,0.763590,62.654
120000,NE,0.999658,53.713
120000,SE,0.169770,53.713
122000,NW,0.713554,53.713
122000,NE,2.557587,62.654
122000,SE,0.278696,53.713
124000,NW,0.751753,53.713
124000,NE,1.806819,71.627
124000,SE,0.139167,53.713
126000,NW,0.549042,62.654
126000,NE,0.408245,62.654
126000,SE,0.305323,62.654
128000,NW,0.154032,62.654
128000,NE,0.332690,53.713
128000,SE,0.142885,53.713
130000,NW,0.266470,53.713
130000,NE,0.245818,62.654
130000,SE,0.122114,44.771
132000,NW,0.185721,62.654
132000,NE,0.383260,53.713
132000,SE,0.281980,53.713
134000,NW,0.126062,62.654
134000,NE,0.305930,53.713
134000,SE,0.173591,44.740
136000,NW,0.134400,44.740
136000,NE,0.374593,62.654
136000,SE,0.125248,53.713
138000,NW,0.251559,62.654
138000,NE,0.245658,53.713
138000,SE,0.191562,44.771
140000,NW,0.300388,53.713
140000,NE,0.491183,35.798
140000,SE,0.215365,53.713
142000,NW,0.121489,53.713
142000,NE,1.012670,53.713
142000,SE,0.160707,53.713
144000,NW,1.053324,53.713
144000,NE,1.121838,53.713
144000,SE,0.191170,53.713
146000,NW,0.595451,44.740
146000,NE,1.237006,53.713
146000,SE,0.115332,44.740
148000,NW,1.001581,62.654
148000,NE,0.355597,62.654
148000,SE,0.199493,53.713
150000,NW,0.361114,44.740
150000,NE,0.461245,53.713
150000,SE,0.110505,53.713
152000,NW,0.864101,62.654
152000,NE,0.171589,62.654
152000,SE,0.232014,53.713
154000,NW,0.625469,62.654
154000,NE,0.458313,53.713
154000,SE,0.099886,53.713
156000,NW,0.465738,44.740
156000,NE,0.304660,53.713
156000,SE,0.145765,53.713
158000,NW,0.494665,53.713
158000,NE,0.235316,35.798
158000,SE,0.152184,53.713
160000,NW,0.174632,44.771
160000,NE,0.089783,62.654
160000,SE,0.148305,53.713
162000,NW,0.201731,62.654
162000,NE,0.279994,44.740
162000,SE,0.179675,35.798
164000,NW,0.167676,62.654
164000,NE,0.242936,62.654
164000,SE,0.260564,44.771
166000,NW,0.144534,62.654
166000,NE,0.161260,44.771
166000,SE,0.129448,44.740
168000,NW,0.227640,62.654
168000,NE,0.210011,71.627
168000,SE,0.133499,53.713
170000,NW,0.462191,53.713
170000,NE,0.278027,53.713
170000,SE,0.172588,53.713
172000,NW,0.683263,53.713
172000,NE,0.476629,53.713
172000,SE,0.697108,44.771
174000,NW,0.191605,53.713
174000,NE,0.494693,53.713
174000,SE,0.131236,62.654
176000,NW,0.215759,44.740
176000,NE,0.142781,62.654
176000,SE,0.154055,53.713
178000,NW,0.160693,53.713
178000,NE,0.113049,62.654
178000,SE,0.195715,53.713
180000,NW,0.210035,62.654
180000,NE,0.155642,62.654
180000,SE,0.176856,44.771
182000,NW,0.212437,62.654
182000,NE,0.198430,53.713
182000,SE,0.176464,53.713
184000,NW,0.316999,53.713
184000,NE,0.116153,35.798
184000,SE,0.183216,53.713
186000,NW,0.587866,53.713
186000,NE,0.137409,62.654
186000,SE,0.134628,44.740
188000,NW,0.440603,53.713
188000,NE,0.133469,53.713
188000,SE,0.208683,53.713
190000,NW,0.223597,62.654
190000,NE,0.182002,44.771
190000,SE,0.127650,44.771
192000,NW,0.228420,53.713
192000,NE,0.372396,44.740
192000,SE,0.115298,44.771
194000,NW,0.161116,35.798
194000,NE,0.328891,62.654
194000,SE,0.162369,53.713
196000,NW,0.136300,62.654
196000,NE,0.271349,53.713
196000,SE,0.182346,53.713
198000,NW,0.523851,62.654
198000,NE,0.976513,53.713
198000,SE,0.145384,53.713
200000,NW,1.297956,62.654
200000,NE,0.993702,53.713
200000,SE,0.160655,62.654
202000,NW,1.550711,53.713
202000,NE,1.468630,62.654
202000,SE,0.179562,53.713
204000,NW,1.842541,53.713
204000,NE,1.821656,44.740
204000,SE,0.278960,53.713
206000,NW,1.723322,53.713
206000,NE,1.856455,62.654
206000,SE,0.103988,44.740
208000,NW,2.640670,44.740
208000,NE,1.220386,53.713
208000,SE,0.115538,53.713
210000,NW,2.453607,62.654
210000,NE,1.529645,53.713
210000,SE,0.153024,44.771
212000,NW,2.642504,53.713
212000,NE,1.655686,62.654
212000,SE,0.147158,62.654
214000,NW,2.363135,53.713
214000,NE,1.505328,53.713
214000,SE,0.134752,44.771
216000,NW,2.687871,53.713
216000,NE,0.759303,26.856
216000,SE,0.204080,53.713
218000,NW,1.491002,53.713
218000,NE,0.988323,53.713
218000,SE,0.177471,53.713
220000,NW,2.426780,35.798
220000,NE,1.077688,53.713
220000,SE,0.119155,62.654
222000,NW,3.524907,62.654
222000,NE,0.139593,62.654
222000,SE,0.107448,44.740
224000,NW,3.143063,53.713
224000,NE,0.645809,53.713
224000,SE,0.105472,53.713
226000,NW,3.453299,62.654
226000,NE,1.041514,53.713
226000,SE,0.119502,53.713
228000,NW,4.511980,62.654
228000,NE,0.576142,53.713
228000,SE,0.205921,44.740
230000,NW,5.188889,53.713
230000,NE,0.569901,53.713
230000,SE,0.229656,53.713
232000,NW,7.429299,71.627
232000,NE,1.106602,62.654
232000,SE,0.351850,53.713
234000,NW,5.891036,62.654
234000,NE,1.097097,44.771
234000,SE,0.179468,53.713
236000,NW,4.559551,53.713
236000,NE,0.729522,53.713
236000,SE,0.100867,53.713
238000,NW,3.542964,44.740
238000,NE,0.453506,35.798
238000,SE,0.158918,53.713
240000,NW,1.901877,53.713
240000,NE,0.653250,62.654
240000,SE,0.149125,53.713
242000,NW,2.019466,53.713
242000,NE,0.227435,26.856
242000,SE,0.151168,53.713
244000,NW,2.483394,53.713
244000,NE,0.265998,53.713
244000,SE,0.192166,53.713
246000,NW,3.987101,62.654
246000,NE,0.934307,53.713
246000,SE,0.165791,53.713
248000,NW,4.929227,62.654
248000,NE,0.840718,53.713
248000,SE,0.133680,53.713
250000,NW,4.189853,53.713
250000,NE,0.782475,62.654
250000,SE,0.170012,53.713
252000,NW,4.312654,44.771
252000,NE,0.204827,53.713
252000,SE,0.178486,53.713
254000,NW,3.228720,53.713
254000,NE,0.275970,53.713
254000,SE,0.249742,53.713
256000,NW,0.712952,53.713
256000,NE,1.022009,53.713
256000,SE,0.086697,53.713
258000,NW,2.092141,53.713
258000,NE,0.429855,44.740
258000,SE,0.138619,53.713
260000,NW,1.927280,62.654
260000,NE,0.430183,53.713
260000,SE,0.223890,53.713
262000,NW,2.485383,62.654
262000,NE,0.549086,71.627
262000,SE,0.153114,53.713
264000,NW,2.001075,53.713
264000,NE,1.295167,62.654
264000,SE,0.196729,53.713
266000,NW,2.843301,62.654
266000,NE,1.067207,44.771
266000,SE,0.155872,53.713
268000,NW,3.899119,62.654
268000,NE,0.497453,53.713
268000,SE,0.275837,53.713
270000,NW,3.106765,44.740
270000,NE,0.335198,53.713
270000,SE,0.084045,35.798
272000,NW,2.658216,53.713
272000,NE,0.995564,62.654
272000,SE,0.163049,53.713
274000,NW,3.261806,53.713
274000,NE,1.032349,53.713
274000,SE,0.179025,35.798
276000,NW,2.937392,62.654
276000,NE,0.820992,26.856
276000,SE,0.161660,53.713
278000,NW,1.353748,62.654
278000,NE,1.229587,62.654
278000,SE,0.219173,53.713
280000,NW,1.278443,53.713
280000,NE,1.172052,62.654
280000,SE,0.169256,44.740
282000,NW,1.001268,53.713
282000,NE,0.820173,62.654
282000,SE,0.164815,35.798
284000,NW,1.264780,53.713
284000,NE,1.201504,53.713
284000,SE,0.142916,53.713
286000,NW,1.170738,62.654
286000,NE,2.069756,62.654
286000,SE,0.296612,53.713
288000,NW,1.749496,62.654
288000,NE,2.450903,53.713
288000,SE,0.101564,53.713
290000,NW,3.639669,53.713
290000,NE,2.674201,71.627
290000,SE,0.258460,44.771
292000,NW,3.901394,53.713
292000,NE,2.540610,71.627
292000,SE,0.227890,53.713
294000,NW,4.601231,53.713
294000,NE,3.150654,53.713
294000,SE,0.222309,53.713
296000,NW,5.270735,53.713
296000,NE,2.837319,53.713
296000,SE,0.214172,53.713
298000,NW,5.547892,53.713
298000,NE,2.518391,44.740
298000,SE,0.178280,53.713
300000,NW,5.764443,53.713
300000,NE,3.574064,53.713
300000,SE,0.104616,44.771
302000,NW,5.664665,53.713
302000,NE,3.071019,62.654
302000,SE,0.229421,53.713
304000,NW,2.757556,53.713
304000,NE,2.363139,53.713
304000,SE,0.247151,44.740
306000,NW,4.017461,44.771
306000,NE,3.798308,62.654
306000,SE,0.227366,35.798
308000,NW,4.284938,62.654
308000,NE,2.870460,53.713
308000,SE,0.241357,44.771
310000,NW,1.526678,53.713
310000,NE,3.281966,62.654
310000,SE,0.132384,53.713
312000,NW,4.076961,53.713
312000,NE,2.835293,35.798
312000,SE,0.206838,53.713
314000,NW,5.207875,53.713
314000,NE,2.999600,62.654
314000,SE,0.131381,53.713
316000,NW,6.213132,53.682
316000,NE,3.351486,62.654
316000,SE,0.190375,53.713
318000,NW,6.125806,62.654
318000,NE,4.388239,62.654
318000,SE,0.129750,44.740
320000,NW,7.064172,62.685
320000,NE,5.608526,62.654
320000,SE,0.176218,35.798
322000,NW,6.369855,71.627
322000,NE,7.010787,53.713
322000,SE,0.251678,53.713
324000,NW,6.626987,62.654
324000,NE,5.602745,62.654
324000,SE,0.209893,44.740
326000,NW,5.147870,44.771
326000,NE,5.514601,62.654
326000,SE,0.116542,44.740
328000,NW,4.443546,35.798
328000,NE,5.336097,53.713
328000,SE,0.445336,53.713
330000,NW,3.286415,44.740
330000,NE,7.462098,80.569
330000,SE,0.218685,53.713
332000,NW,2.854605,53.713
332000,NE,7.773175,53.713
332000,SE,0.359649,53.713
334000,NW,0.774111,62.654
334000,NE,5.535013,62.654
334000,SE,0.290414,53.713
336000,NW,0.837844,44.740
336000,NE,4.175424,53.713
336000,SE,0.227957,35.798
338000,NW,1.160725,62.654
338000,NE,3.751908,62.654
338000,SE,0.144965,35.798
340000,NW,0.860933,62.654
340000,NE,4.128655,53.713
340000,SE,0.110711,53.713
342000,NW,1.127415,53.713
342000,NE,3.991968,44.740
342000,SE,0.121527,53.713
344000,NW,1.338366,44.771
344000,NE,3.782683,62.654
344000,SE,0.130260,53.713
346000,NW,0.575889,62.654
346000,NE,4.716081,35.798
346000,SE,0.091935,53.713
348000,NW,1.244800,53.713
348000,NE,2.938211,44.740
348000,SE,0.192793,44.771
350000,NW,0.783166,62.654
350000,NE,3.044480,53.713
350000,SE,0.114352,53.713
