freq_hz,NW_mV,NE_mV,SE_mV
350000,0.084004,0.083266,0.136354
354000,0.123411,0.226868,0.081694
358000,0.115992,0.122754,0.106792
362000,0.171925,0.118700,0.142336
366000,0.191556,0.163390,0.164189
370000,0.223711,0.212248,0.198362
374000,0.146525,0.193955,0.157194
378000,0.176868,0.166412,0.197901
382000,0.104685,0.113936,0.149023
386000,0.072512,0.106321,0.151035
390000,0.175141,0.177562,0.163809
394000,0.195270,0.168875,0.169922
398000,0.133697,0.146716,0.108309
402000,0.102687,0.148294,0.206613
406000,0.252606,0.129671,0.126064
410000,0.123651,0.069550,0.196410
414000,0.129375,0.155588,0.188703
418000,0.210759,0.161947,0.160755
422000,0.227324,0.215268,0.144158
426000,0.172008,0.131800,0.129111
430000,0.193297,0.165508,0.125318
434000,0.201788,0.134126,0.114551
438000,0.483739,0.460369,0.232938
442000,0.108932,0.083106,0.173573
446000,0.156412,0.185364,0.266965
450000,0.151934,0.268249,0.181176
454000,0.239467,0.112157,0.214495
458000,0.084665,0.198441,0.165675
462000,0.211901,0.232567,0.214350
466000,0.181083,0.208139,0.209860
470000,0.141419,0.218026,0.194131
474000,0.116224,0.130321,0.171824
478000,0.171099,0.192690,0.200630
482000,0.247968,0.258997,0.129488
486000,0.140376,0.156252,0.160233
490000,0.125203,0.154634,0.147047
494000,0.144166,0.100977,0.117341
498000,0.131003,0.215318,0.196547
502000,0.187944,0.276682,0.148482
506000,0.153255,0.155074,0.171376
510000,0.215917,0.151014,0.268954
514000,0.134944,0.194820,0.231372
518000,0.125728,0.217315,0.192586
522000,0.174891,0.150498,0.205109
526000,0.140608,0.209903,0.230326
530000,0.176928,0.257772,0.160710
534000,0.240785,0.147012,0.095032
538000,0.119404,0.088217,0.118206
542000,0.170265,0.207828,0.164089
546000,0.203578,0.146526,0.231473
550000,0.134268,0.201002,0.191783
