t_min,balls,glass_hit,wire_hit,noise_sigma,nf
0.5,96,69.8,50.0,1.0,235
1.0,191,69.6,50.8,1.0,218
1.5,286,69.6,52.1,1.0,179
2.0,381,69.0,52.0,1.0,200
2.5,474,68.4,51.5,1.0,232
3.0,568,68.0,52.1,1.0,271
3.5,661,68.7,52.5,1.0,214
4.0,754,68.4,52.3,1.0,284
4.5,847,68.8,52.7,1.0,248
5.0,940,69.0,53.2,1.0,261
5.5,1024,69.1,53.0,1.0,229
6.0,1106,69.3,53.0,1.0,240
6.5,1191,69.3,52.7,1.0,193
7.0,1287,67.5,53.1,1.0,166
7.5,1383,66.8,52.4,1.0,252
8.0,1479,65.7,52.4,1.0,193
8.5,1574,64.4,52.1,1.0,218
9.0,1670,63.5,52.0,1.0,248
